tick,temps_s,x,y,z,vx,vy,vz,vitesse,vitesse_horizontale,vitesse_verticale,pression,masse,poids,portance,poussee,trainee,resultante_y,gaz_total,gaz_capacite,regime_max,stress_su,capacite_su,au_sol,surcharge,f_gravite_x,f_gravite_y,f_gravite_z,f_ballon_x,f_ballon_y,f_ballon_z,f_helice@11.10.10_x,f_helice@11.10.10_y,f_helice@11.10.10_z,f_helice@21.10.10_x,f_helice@21.10.10_y,f_helice@21.10.10_z,f_trainee_x,f_trainee_y,f_trainee_z
0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1856.75,20424.25,0.0,0.0,0.0,-20424.25,0.0,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
5,0.25,0.0,62.6152,0.0,0.0,-2.50475,0.0,2.50475,0.0,-2.50475,1.00154,1856.75,20424.25,899.71,0.0,2018.66,-17505.875,54.47,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,899.714,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,2018.661,-0.0
10,0.5,0.0,61.6693,0.0,0.0,-4.58322,0.0,4.58322,0.0,-4.58322,1.00534,1856.75,20424.25,1783.19,0.0,4167.21,-14473.845,107.6,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,1783.191,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,4167.213,-0.0
15,0.75,0.0,60.2607,0.0,0.0,-6.28816,0.0,6.28816,0.0,-6.28816,1.01102,1856.75,20424.25,2656.04,0.0,5955.77,-11812.441,159.42,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,2656.042,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,5955.766,-0.0
20,1.0,0.0,58.476,0.0,0.0,-7.66464,0.0,7.66464,0.0,-7.66464,1.01826,1856.75,20424.25,3522.48,0.0,7432.42,-9469.356,209.98,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,3522.477,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,7432.417,-0.0
25,1.25,0.0,56.3914,0.0,0.0,-8.75168,0.0,8.75168,0.0,-8.75168,1.02678,1856.75,20424.25,4385.57,0.0,8635.63,-7403.047,259.31,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,4385.571,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,8635.632,-0.0
30,1.5,0.0,54.0739,0.0,0.0,-9.58345,0.0,9.58345,0.0,-9.58345,1.03634,1856.75,20424.25,5247.47,0.0,9596.8,-5579.984,307.46,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,5247.47,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,9596.797,-0.0
35,1.75,0.0,51.5828,0.0,0.0,-10.19013,0.0,10.19013,0.0,-10.19013,1.04671,1856.75,20424.25,6109.55,0.0,10342.06,-3972.642,354.47,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,6109.547,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,10342.062,-0.0
40,2.0,0.0,48.9703,0.0,0.0,-10.59861,0.0,10.59861,0.0,-10.59861,1.0577,1856.75,20424.25,6972.54,0.0,10893.69,-2558.022,400.37,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,6972.536,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,10893.691,-0.0
45,2.25,0.0,46.2822,0.0,0.0,-10.83303,0.0,10.83303,0.0,-10.83303,1.06913,1856.75,20424.25,7836.64,0.0,11271.05,-1316.56,445.2,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,7836.638,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,11271.052,-0.0
50,2.5,0.0,43.5588,0.0,0.0,-10.91509,0.0,10.91509,0.0,-10.91509,1.08084,1856.75,20424.25,8701.61,0.0,11491.33,-231.307,488.99,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,8701.61,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,11491.333,-0.0
55,2.75,0.0,40.8352,0.0,0.0,-10.86442,0.0,10.86442,0.0,-10.86442,1.09267,1856.75,20424.25,9566.84,0.0,11570.07,712.663,531.79,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,9566.844,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,11570.069,-0.0
60,3.0,0.0,38.1418,0.0,0.0,-10.6988,0.0,10.6988,0.0,-10.6988,1.1045,1856.75,20424.25,10431.44,0.0,11521.52,1528.706,573.62,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,10431.44,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,11521.516,-0.0
65,3.25,0.0,35.5049,0.0,0.0,-10.43429,0.0,10.43429,0.0,-10.43429,1.1162,1856.75,20424.25,11294.26,0.0,11358.91,2228.922,614.52,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,11294.262,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,11358.91,-0.0
70,3.5,0.0,32.9472,0.0,0.0,-10.08544,0.0,10.08544,0.0,-10.08544,1.12768,1856.75,20424.25,12154.0,0.0,11094.65,2824.396,654.53,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,12153.998,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,11094.647,-0.0
75,3.75,0.0,30.4875,0.0,0.0,-9.66539,0.0,9.66539,0.0,-9.66539,1.13882,1856.75,20424.25,13009.21,0.0,10740.4,3325.357,693.67,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,13009.21,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,10740.397,-0.0
80,4.0,0.0,28.142,0.0,0.0,-9.18596,0.0,9.18596,0.0,-9.18596,1.14955,1856.75,20424.25,13858.37,0.0,10307.17,3741.295,731.98,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,13858.375,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,10307.17,-0.0
85,4.25,0.0,25.9239,0.0,0.0,-8.65776,0.0,8.65776,0.0,-8.65776,1.15979,1856.75,20424.25,14699.93,0.0,9805.36,4081.039,769.49,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,14699.929,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,9805.36,-0.0
90,4.5,0.0,23.8438,0.0,0.0,-8.09028,0.0,8.09028,0.0,-8.09028,1.16948,1856.75,20424.25,15532.3,0.0,9244.75,4352.803,806.24,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,15532.3,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,9244.752,-0.0
95,4.75,0.0,21.9105,0.0,0.0,-7.49194,0.0,7.49194,0.0,-7.49194,1.17856,1856.75,20424.25,16353.94,0.0,8634.54,4564.225,842.25,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,16353.94,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,8634.535,-0.0
100,5.0,0.0,20.1304,0.0,0.0,-6.8702,0.0,6.8702,0.0,-6.8702,1.18698,1856.75,20424.25,17163.35,0.0,7983.29,4722.388,877.55,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,17163.348,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,7983.29,-0.0
105,5.25,0.0,18.5083,0.0,0.0,-6.2316,0.0,6.2316,0.0,-6.2316,1.1947,1856.75,20424.25,17959.1,0.0,7298.99,4833.837,912.18,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,17959.097,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,7298.99,-0.0
110,5.5,0.0,17.0477,0.0,0.0,-5.58186,0.0,5.58186,0.0,-5.58186,1.2017,1856.75,20424.25,18739.85,0.0,6588.99,4904.591,946.17,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,18739.847,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,6588.994,-0.0
115,5.75,0.0,15.7506,0.0,0.0,-4.92595,0.0,4.92595,0.0,-4.92595,1.20795,1856.75,20424.25,19504.36,0.0,5860.05,4940.16,979.55,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,19504.359,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,5860.05,-0.0
120,6.0,0.0,14.6177,0.0,0.0,-4.26812,0.0,4.26812,0.0,-4.26812,1.21344,1856.75,20424.25,20251.51,0.0,5118.3,4945.558,1012.34,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,20251.51,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,5118.298,-0.0
125,6.25,0.0,13.6492,0.0,0.0,-3.61202,0.0,3.61202,0.0,-3.61202,1.21815,1856.75,20424.25,20980.29,0.0,4369.28,4925.323,1044.58,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,20980.291,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,4369.281,-0.0
130,6.5,0.0,12.844,0.0,0.0,-2.96069,0.0,2.96069,0.0,-2.96069,1.22208,1856.75,20424.25,21689.82,0.0,3617.97,4883.535,1076.29,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,21689.818,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,3617.967,-0.0
135,6.75,0.0,12.2006,0.0,0.0,-2.3167,0.0,2.3167,0.0,-2.3167,1.22523,1856.75,20424.25,22379.33,0.0,2868.76,4823.84,1107.51,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,22379.328,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,2868.762,-0.0
140,7.0,0.0,11.7168,0.0,0.0,-1.68216,0.0,1.68216,0.0,-1.68216,1.2276,1856.75,20424.25,23048.18,0.0,2125.55,4749.472,1138.26,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,23048.177,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,2125.546,-0.0
145,7.25,0.0,11.39,0.0,0.0,-1.05876,0.0,1.05876,0.0,-1.05876,1.22921,1856.75,20424.25,23695.83,0.0,1391.7,4663.282,1168.57,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,23695.834,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,1391.698,-0.0
150,7.5,0.0,11.2172,0.0,0.0,-0.44787,0.0,0.44787,0.0,-0.44787,1.23006,1856.75,20424.25,24321.88,0.0,670.13,4567.757,1198.47,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,24321.877,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,670.131,-0.0
155,7.75,0.0,11.1951,0.0,0.0,0.14947,0.0,0.14947,0.0,0.14947,1.23017,1856.75,20424.25,24925.97,0.0,36.67,4465.052,1227.98,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,24925.974,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-36.673,-0.0
160,8.0,0.0,11.3203,0.0,0.0,0.73247,0.0,0.73247,0.0,0.73247,1.22955,1856.75,20424.25,25507.88,0.0,726.62,4357.005,1257.13,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,25507.877,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-726.622,-0.0
165,8.25,0.0,11.5889,0.0,0.0,1.30055,0.0,1.30055,0.0,1.30055,1.22823,1856.75,20424.25,26067.4,0.0,1397.98,4245.164,1285.94,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,26067.398,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-1397.984,-0.0
170,8.5,0.0,11.9973,0.0,0.0,1.85333,0.0,1.85333,0.0,1.85333,1.22623,1856.75,20424.25,26604.39,0.0,2049.34,4130.801,1314.43,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,26604.387,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-2049.337,-0.0
175,8.75,0.0,12.5415,0.0,0.0,2.39057,0.0,2.39057,0.0,2.39057,1.22356,1856.75,20424.25,27118.71,0.0,2679.54,4014.921,1342.62,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,27118.709,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-2679.538,-0.0
180,9.0,0.0,13.2177,0.0,0.0,2.91214,0.0,2.91214,0.0,2.91214,1.22025,1856.75,20424.25,27610.2,0.0,3287.68,3898.271,1370.51,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,27610.201,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-3287.679,-0.0
185,9.25,0.0,14.0219,0.0,0.0,3.418,0.0,3.418,0.0,3.418,1.21633,1856.75,20424.25,28078.63,0.0,3873.05,3781.337,1398.11,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,28078.632,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-3873.045,-0.0
190,9.5,0.0,14.9502,0.0,0.0,3.90814,0.0,3.90814,0.0,3.90814,1.21183,1856.75,20424.25,28523.65,0.0,4435.07,3664.329,1425.42,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,28523.65,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-4435.071,-0.0
195,9.75,0.0,15.9987,0.0,0.0,4.38255,0.0,4.38255,0.0,4.38255,1.20675,1856.75,20424.25,28944.72,0.0,4973.3,3547.169,1452.4,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,28944.715,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-4973.297,-0.0
200,10.0,0.0,17.1635,0.0,0.0,4.8412,0.0,4.8412,0.0,4.8412,1.20115,1856.75,20424.25,29341.02,0.0,5487.32,3429.459,1479.02,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,29341.025,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-5487.316,-0.0
205,10.25,0.0,18.4405,0.0,0.0,5.28398,0.0,5.28398,0.0,5.28398,1.19503,1856.75,20424.25,29711.43,0.0,5976.73,3310.456,1505.23,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,29711.432,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-5976.726,-0.0
210,10.5,0.0,19.8259,0.0,0.0,5.71064,0.0,5.71064,0.0,5.71064,1.18842,1856.75,20424.25,30054.37,0.0,6441.08,3189.046,1530.93,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,30054.372,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-6441.075,-0.0
215,10.75,0.0,21.3154,0.0,0.0,6.12076,0.0,6.12076,0.0,6.12076,1.18136,1856.75,20424.25,30367.8,0.0,6879.8,3063.75,1556.02,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,30367.803,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-6879.803,-0.0
220,11.0,0.0,22.9049,0.0,0.0,6.51369,0.0,6.51369,0.0,6.51369,1.17388,1856.75,20424.25,30649.21,0.0,7292.2,2932.768,1580.32,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,30649.214,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-7292.196,-0.0
225,11.25,0.0,24.5899,0.0,0.0,6.88853,0.0,6.88853,0.0,6.88853,1.166,1856.75,20424.25,30895.71,0.0,7677.35,2794.113,1603.69,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,30895.711,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-7677.349,-0.0
230,11.5,0.0,26.3657,0.0,0.0,7.24412,0.0,7.24412,0.0,7.24412,1.15774,1856.75,20424.25,31104.23,0.0,8034.16,2645.823,1625.9,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,31104.235,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-8034.162,-0.0
235,11.75,0.0,28.2274,0.0,0.0,7.57905,0.0,7.57905,0.0,7.57905,1.14916,1856.75,20424.25,31271.9,0.0,8361.37,2486.281,1646.77,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,31271.901,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-8361.37,-0.0
240,12.0,0.0,30.1696,0.0,0.0,7.89177,0.0,7.89177,0.0,7.89177,1.14027,1856.75,20424.25,31396.43,0.0,8657.62,2314.56,1666.11,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,31396.431,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-8657.621,-0.0
245,12.25,0.0,32.1863,0.0,0.0,8.18065,0.0,8.18065,0.0,8.18065,1.13111,1856.75,20424.25,31476.56,0.0,8921.6,2130.709,1683.79,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,31476.563,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-8921.605,-0.0
250,12.5,0.0,34.2716,0.0,0.0,8.44418,0.0,8.44418,0.0,8.44418,1.12172,1856.75,20424.25,31512.34,0.0,9152.2,1935.889,1699.73,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,31512.342,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-9152.203,-0.0
255,12.75,0.0,36.4187,0.0,0.0,8.68108,0.0,8.68108,0.0,8.68108,1.11213,1856.75,20424.25,31505.18,0.0,9348.64,1732.291,1713.91,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,31505.181,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-9348.64,-0.0
260,13.0,0.0,38.6209,0.0,0.0,8.89042,0.0,8.89042,0.0,8.89042,1.10238,1856.75,20424.25,31457.72,0.0,9510.6,1522.866,1726.39,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,31457.715,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-9510.599,-0.0
265,13.25,0.0,40.8713,0.0,0.0,9.07171,0.0,9.07171,0.0,9.07171,1.09251,1856.75,20424.25,31373.49,0.0,9638.29,1310.955,1737.26,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,31373.494,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-9638.289,-0.0
270,13.5,0.0,43.1627,0.0,0.0,9.22488,0.0,9.22488,0.0,9.22488,1.08255,1856.75,20424.25,31256.62,0.0,9732.45,1099.922,1746.67,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,31256.62,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-9732.448,-0.0
275,13.75,0.0,45.4883,0.0,0.0,9.35031,0.0,9.35031,0.0,9.35031,1.07253,1856.75,20424.25,31111.41,0.0,9794.3,892.862,1754.75,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,31111.409,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-9794.297,-0.0
280,14.0,0.0,47.8412,0.0,0.0,9.44876,0.0,9.44876,0.0,9.44876,1.06249,1856.75,20424.25,30942.13,0.0,9825.46,692.414,1761.66,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,30942.127,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-9825.463,-0.0
285,14.25,0.0,50.2148,0.0,0.0,9.52129,0.0,9.52129,0.0,9.52129,1.05245,1856.75,20424.25,30752.81,0.0,9827.89,500.677,1767.55,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,30752.813,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-9827.885,-0.0
290,14.5,0.0,52.6028,0.0,0.0,9.56917,0.0,9.56917,0.0,9.56917,1.04245,1856.75,20424.25,30547.17,0.0,9803.71,319.205,1772.55,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,30547.168,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-9803.714,-0.0
295,14.75,0.0,54.9992,0.0,0.0,9.59387,0.0,9.59387,0.0,9.59387,1.03251,1856.75,20424.25,30328.51,0.0,9755.22,149.041,1776.8,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,30328.513,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-9755.222,-0.0
300,15.0,0.0,57.3985,0.0,0.0,9.59696,0.0,9.59696,0.0,9.59696,1.02266,1856.75,20424.25,30099.77,0.0,9684.73,-9.206,1780.4,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,30099.774,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-9684.731,-0.0
305,15.25,0.0,59.7956,0.0,0.0,9.58003,0.0,9.58003,0.0,9.58003,1.0129,1856.75,20424.25,29863.5,0.0,9594.54,-155.291,1783.44,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,29863.502,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-9594.542,-0.0
310,15.5,0.0,62.1857,0.0,0.0,9.5447,0.0,9.5447,0.0,9.5447,1.00326,1856.75,20424.25,29621.89,0.0,9486.9,-289.253,1786.02,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,29621.893,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-9486.896,-0.0
315,15.75,0.0,64.5644,0.0,0.0,9.49258,0.0,9.49258,0.0,9.49258,0.99376,1856.75,20424.25,29376.82,0.0,9363.93,-411.354,1788.19,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,29376.823,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-9363.927,-0.0
320,16.0,0.0,66.9277,0.0,0.0,9.4252,0.0,9.4252,0.0,9.4252,0.98441,1856.75,20424.25,29129.85,0.0,9227.64,-522.037,1790.03,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,29129.854,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-9227.641,-0.0
325,16.25,0.0,69.2721,0.0,0.0,9.34405,0.0,9.34405,0.0,9.34405,0.97521,1856.75,20424.25,28882.34,0.0,9079.91,-621.819,1791.58,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,28882.342,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-9079.911,-0.0
330,16.5,0.0,71.5943,0.0,0.0,9.25053,0.0,9.25053,0.0,9.25053,0.96619,1856.75,20424.25,28635.44,0.0,8922.47,-711.284,1792.89,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,28635.44,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-8922.474,-0.0
335,16.75,0.0,73.8915,0.0,0.0,9.14595,0.0,9.14595,0.0,9.14595,0.95734,1856.75,20424.25,28390.11,0.0,8756.92,-791.056,1794.0,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,28390.11,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-8756.917,-0.0
340,17.0,0.0,76.161,0.0,0.0,9.03157,0.0,9.03157,0.0,9.03157,0.94867,1856.75,20424.25,28147.16,0.0,8584.68,-861.778,1794.94,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,28147.157,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-8584.685,-0.0
345,17.25,0.0,78.4006,0.0,0.0,8.90852,0.0,8.90852,0.0,8.90852,0.94019,1856.75,20424.25,27907.24,0.0,8407.09,-924.093,1795.73,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,27907.243,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-8407.085,-0.0
350,17.5,0.0,80.6082,0.0,0.0,8.77789,0.0,8.77789,0.0,8.77789,0.93191,1856.75,20424.25,27670.91,0.0,8225.29,-978.63,1796.39,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,27670.912,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-8225.292,-0.0
355,17.75,0.0,82.7823,0.0,0.0,8.64064,0.0,8.64064,0.0,8.64064,0.92382,1856.75,20424.25,27438.61,0.0,8040.35,-1025.997,1796.95,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,27438.607,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-8040.354,-0.0
360,18.0,0.0,84.9211,0.0,0.0,8.4977,0.0,8.4977,0.0,8.4977,0.91593,1856.75,20424.25,27210.68,0.0,7853.21,-1066.776,1797.43,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,27210.681,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-7853.207,-0.0
365,18.25,0.0,87.0234,0.0,0.0,8.34989,0.0,8.34989,0.0,8.34989,0.90824,1856.75,20424.25,26987.42,0.0,7664.68,-1101.513,1797.83,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,26987.415,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-7664.678,-0.0
370,18.5,0.0,89.0882,0.0,0.0,8.19798,0.0,8.19798,0.0,8.19798,0.90075,1856.75,20424.25,26769.03,0.0,7475.5,-1130.725,1798.17,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,26769.025,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-7475.5,-0.0
375,18.75,0.0,91.1144,0.0,0.0,8.04266,0.0,8.04266,0.0,8.04266,0.89346,1856.75,20424.25,26555.67,0.0,7286.31,-1154.891,1798.45,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,26555.673,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-7286.314,-0.0
380,19.0,0.0,93.1014,0.0,0.0,7.88456,0.0,7.88456,0.0,7.88456,0.88636,1856.75,20424.25,26347.48,0.0,7097.68,-1174.457,1798.7,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,26347.475,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-7097.683,-0.0
385,19.25,0.0,95.0486,0.0,0.0,7.72426,0.0,7.72426,0.0,7.72426,0.87946,1856.75,20424.25,26144.51,0.0,6910.1,-1189.836,1798.9,8926,32.0,0.0,8192.0,0,0,0.0,-20424.25,0.0,0.0,26144.509,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-6910.095,-0.0
